"","comic.name","comic.summary","comic.grade"
"111","원래부터 아무것도 없었던 세계","시리어스 메타픽션물","9.82"
"112","급식으로 사는 법","리얼 학교생활","9.04"
"113","카오스이론","오브젝트헤드 판타지","9.88"
"114","핫캣일기","느긋한 열정 고양이","9.81"
"115","[BL] HOLY JUNK","두 사람의 삶","9.58"
"116","한지붕 새가족","꿀잼 가족 시트콤!","9.63"
"117","여배우 안태이","여배우의 이야기","9.36"
"118","사자머리와호깜대","뻔뻔한 냥이들의일상","9.79"
"119","우리집 강아지는 복슬강아지","댕댕이와의 일상:3","9.89"
"120","모호담","스릴러 단편집","9.53"
"121","난편하다","주인공의 성장스토리","9.73"
"122","귀신잡는 해병대","헤이빠빠리빠","9.17"
"123","신을 죽인 아이들","미쳐버린 신을죽인다","8.81"
"124","의대생 하루","의대생의 리얼 일상","8.85"
"125","덩키파티","어떻게 살아야 될까","9.69"
"126","나의 대주주가 되어주오","소꿉친구와 재회","9.60"
"127","너와 가까워지는 거리","소프트BL","9.71"
"128","기억 속 너에게","판타지 성장물","8.91"
"129","루이와 졸개들 R","나만알고싶은 양아치","9.78"
"130","인간동물원","인간동물원 탈출기","9.78"
"131","다시 한 번 리유스!","두번째 청춘","9.68"
"132","좀비다이어리","격리구역 탈출기","9.88"
"133","조폭소녀","개그 스릴러","9.59"
"134","24시간","살인마를피해탈출하라","9.63"
"135","나의 애니메이터 이야기","나는 애니메이터","9.39"
"136","소란 씨스터즈","가족 일상 웹툰","9.68"
"137","빛, 봉인의 열쇠","마스터 키를 찾아서","9.75"
"138","하루한끼 감정일기 시즌2","아기자기힐링 음식툰","9.83"
"139","너는 나의 2%","소꿉친구 병맛로맨스","9.88"
"140","나만 모르는 이야기","혼자인사람들의이야기","9.78"
"141","이게좋아","우린 무슨 관계지?","8.90"
"142","1년 동안 잘 부탁해!","우당탕탕 기숙학교!","9.53"
"143","불손한 친구들","불손한 친구들 일상","9.85"
"144","네일을 향해 쏴라","남자의 네일 도전기","9.04"
"145","성별역전","소꿉친구","9.68"
"146","나는 0대생","공대생 일상툰","9.79"
"147","[일상 로맨스] 그냥 선생님","선생님의 일상로맨스","9.93"
"148","더 위시","솔로몬의 마법단지","8.90"
"149","어쩌다 주짓수","어쩌다 주짓수 코치","9.71"
"150","얘! 알바야","편의점 알바 일상","9.88"
"151","하루땃따","시트콤 같은 일상툰","9.91"
"152","막내는 다 알아요!","다섯 가족의 일상","9.78"
"153","삼자대면","세 쌍둥이의 일상!","9.82"
"154","녹는점","지구온난화","9.73"
"155","아틀레냐 비바체","치유계 개판물","9.88"
"156","루텔","력家네","9.90"
"157","오늘의 후기","매일 살아가는 후기","9.78"
"158","궁궐의 맛","궁궐의 맛","9.76"
"159","김작가의 오춘기 그림일기","오춘기를 앓고있어요","9.85"
"160","바프일기","바디프로필 도전일지","9.76"
"161","칠흑의 장미","남주가 빌런","9.88"
"162","소중한 하루를 살다","소중한 일상 만들기","9.72"
"163","슬기로운 재수생활","재수생활 염탐하기","9.78"
"164","마이데이","청춘 성장 로맨스","9.69"
